Covesion Ltd.
MSHG2600-1.0-xx Phase matching data v1.0
Disclaimer: Please note these are calculated values only and actual values may vary.

Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm,,Temperature,34.00μm,34.80μm,35.50μm,35.80μm,35.97μm
30,2261.632373333,2349.8859906197,2460.0434207916,2533.4064865112,2600.3332519531,,200,3172.58076787,2982.1185541153,,,
30.68,2261.9095349312,2350.2436184883,2460.5941677093,2534.2304611206,2601.7614746094,,199.32,3173.2116878033,2983.0779695511,,,
31.36,2262.1866965294,2350.601246357,2461.1449146271,2535.0601577759,2603.2116699219,,198.64,3173.8426077366,2984.0304327011,,,
32.04,2262.4638581276,2350.9678149223,2461.7028141022,2535.8955764771,2604.6911621094,,197.96,3174.4735276699,2984.9828958511,,,
32.72,2262.7410197258,2351.325442791,2462.2607135773,2536.74243927,2606.1926269531,,197.28,3175.1044476032,2985.9353590012,,,
33.4,2263.018181324,2351.6920113563,2462.8186130524,2537.589302063,2607.7233886719,,196.6,3175.7301533222,2986.8739175797,,,
34.08,2263.2953429222,2352.049639225,2463.3836650848,2538.4418869019,2609.2761230469,,195.92,3176.3558590412,2987.8194284439,,,
34.76,2263.5814452171,2352.4162077904,2463.9487171173,2539.3001937866,2610.8654785156,,195.24,3176.9815647602,2988.7510347366,,,
35.44,2263.8586068153,2352.7827763557,2464.5209217072,2540.1699447632,2612.4914550781,,194.56,3177.6020562649,2989.6826410294,,,
36.12,2264.1357684135,2353.1493449211,2465.0859737396,2541.0396957397,2614.1394042969,,193.88,3178.2225477696,2990.6142473221,,,
36.8,2264.4218707085,2353.5159134865,2465.6581783295,2541.9208908081,2615.8322143555,,193.2,3178.8430392742,2991.538901329,,,
37.48,2264.6990323067,2353.8824820518,2466.2375354767,2542.8020858765,2617.5570678711,,192.52,3179.4635307789,2992.4566030502,,,
38.16,2264.9851346016,2354.2579913139,2466.8168926239,2543.6947250366,2619.3258666992,,191.84,3180.0788080692,2993.3743047714,,,
38.84,2265.2712368965,2354.6245598793,2467.3962497711,2544.5988082886,2621.1331176758,,191.16,3180.6940853596,2994.2850542069,,,
39.52,2265.5573391914,2355.0000691414,2467.9756069183,2545.5028915405,2622.9898071289,,190.48,3181.3093626499,2995.1958036423,,,
40.2,2265.8434414864,2355.3755784035,2468.5621166229,2546.4126968384,2624.8904418945,,189.8,3181.9246399403,2996.0996007919,,,
40.88,2266.1206030846,2355.7510876656,2469.1486263275,2547.333946228,2626.8460083008,,189.12,3182.5347030163,2997.0033979416,,,
41.56,2266.4156460762,2356.1265969276,2469.7422885895,2548.2609176636,2628.8619995117,,188.44,3183.1447660923,2997.9002428055,,,
42.24,2266.7017483711,2356.5021061897,2470.3359508514,2549.1993331909,2630.9329223633,,187.76,3183.7548291683,2998.7970876694,,,
42.92,2266.987850666,2356.8776154518,2470.9296131134,2550.1434707642,2633.0752563477,,187.08,3184.3648922443,2999.6869802475,,,
43.6,2267.273952961,2357.2531247139,2471.5304279327,2551.0933303833,2635.2890014648,,186.4,3184.969741106,3000.5768728256,,,
44.28,2267.5600552559,2357.6375746727,2472.1312427521,2552.0489120483,2637.586517334,,185.72,3185.5745899677,3001.459813118,,,
44.96,2267.8550982475,2358.0220246315,2472.7320575714,2553.0159378052,2639.9760437012,,185.04,3186.1794388294,3002.3358011246,,,
45.64,2268.1412005424,2358.3975338936,2473.3400249481,2553.9886856079,2642.4562072754,,184.36,3186.7842876911,3003.2187414169,,,
46.32,2268.4362435341,2358.7819838524,2473.9479923248,2554.9728775024,2645.059967041,,183.68,3187.3839223385,3004.0877771378,,,
47,2268.7312865257,2359.1664338112,2474.5631122589,2555.9627914429,2647.787322998,,183,3187.9835569859,3004.9568128586,,,
47.68,2269.0173888206,2359.55088377,2475.178232193,2556.9641494751,2650.6712341309,,182.32,3188.5831916332,3005.8258485794,,,
48.36,2269.3124318123,2359.9442744255,2475.7933521271,2557.9712295532,2653.7281799316,,181.64,3189.1776120663,3006.6879320145,,,
49.04,2269.6074748039,2360.3287243843,2476.4156246185,2558.9897537231,2656.9911193848,,180.96,3189.7772467136,3007.5500154495,,,
49.72,2269.9025177956,2360.7131743431,2477.03789711,2560.0197219849,2660.525970459,,180.28,3190.3716671467,3008.4051465988,,,
50.4,2270.1975607872,2361.1065649986,2477.6673221588,2561.0554122925,2664.390411377,,179.6,3190.9608733654,3009.2602777481,,,
